date,site,forecast,horizon,PRES,TSOIL,SOILW,WEASD,SNOD,ICETK
2025-05-25,ABBY,gec00,f000,96785.5234375,284.4373474121094,0.22100001573562625,0,0,0
2025-05-25,BARR,gec00,f000,100691.1171875,NA,NA,52,0.1599999964237213,1.25
2025-05-25,BART,gec00,f000,95279.921875,277.6373596191406,0.29100000858306885,0,0,0
2025-05-25,BLAN,gec00,f000,99788.71875,284.9373474121094,0.2800000011920929,0,0,0
2025-05-25,BONA,gec00,f000,96007.921875,281.537353515625,0.30000001192092896,0,0,0
2025-05-25,CLBJ,gec00,f000,97774.3203125,297.8373718261719,0.21000000834465027,0,0,0
2025-05-25,CPER,gec00,f000,83513.5234375,284.1373596191406,0.20100000500679016,0,0,0
2025-05-25,DCFS,gec00,f000,96598.3203125,284.23736572265625,0.23800000548362732,0,0,0
2025-05-25,DEJU,gec00,f000,93886.3203125,281.6373596191406,0.2770000100135803,0,0,0
2025-05-25,DELA,gec00,f000,101335.921875,295.23736572265625,0.2639999985694885,0,0,0
2025-05-25,DSNY,gec00,f000,101631.921875,296.73736572265625,0.11400000751018524,0,0,0
2025-05-25,GRSM,gec00,f000,91915.1171875,285.9373474121094,0.281000018119812,0,0,0
2025-05-25,GUAN,gec00,f000,100740.71875,298.4373474121094,0.2240000069141388,0,0,0
2025-05-25,HARV,gec00,f000,98446.3203125,280.9373474121094,0.2970000207424164,0,0,0
2025-05-25,HEAL,gec00,f000,92455.921875,279.73736572265625,0.3160000145435333,0,0,0
2025-05-25,JERC,gec00,f000,101265.5234375,298.037353515625,0.0950000062584877,0,0,0
2025-05-25,JORN,gec00,f000,85979.1171875,295.73736572265625,0.07000000029802322,0,0,0
2025-05-25,KONA,gec00,f000,97137.5234375,289.4373474121094,0.2600000202655792,0,0,0
2025-05-25,KONZ,gec00,f000,97137.5234375,289.4373474121094,0.2600000202655792,0,0,0
2025-05-25,LAJA,gec00,f000,100740.71875,298.4373474121094,0.2240000069141388,0,0,0
2025-05-25,LENO,gec00,f000,101198.3203125,295.4373474121094,0.2680000066757202,0,0,0
2025-05-25,MLBS,gec00,f000,94174.3203125,284.037353515625,0.2720000147819519,0,0,0
2025-05-25,MOAB,gec00,f000,79559.921875,287.9373474121094,0.1210000067949295,0,0,0
2025-05-25,NIWO,gec00,f000,74236.71875,279.037353515625,0.26100000739097595,0,0,0
2025-05-25,NOGP,gec00,f000,95769.5234375,282.73736572265625,0.25200000405311584,0,0,0
2025-05-25,OAES,gec00,f000,95139.1171875,296.1373596191406,0.16600000858306885,0,0,0
2025-05-25,ONAQ,gec00,f000,82081.5234375,288.8373718261719,0.16700001060962677,0,0,0
2025-05-25,ORNL,gec00,f000,97494.3203125,287.8373718261719,0.29100000858306885,0,0,0
2025-05-25,OSBS,gec00,f000,101639.921875,297.537353515625,0.08700000494718552,0,0,0
2025-05-25,PUUM,gec00,f000,80951.921875,289.6373596191406,0.18900001049041748,0,0,0
2025-05-25,RMNP,gec00,f000,74692.71875,280.6373596191406,0.23100000619888303,1,0,0
2025-05-25,SCBI,gec00,f000,99788.71875,284.9373474121094,0.2800000011920929,0,0,0
2025-05-25,SERC,gec00,f000,102075.1171875,NA,NA,NA,NA,0
2025-05-25,SJER,gec00,f000,94308.71875,290.537353515625,0.07500000298023224,0,0,0
2025-05-25,SOAP,gec00,f000,94308.71875,290.537353515625,0.07500000298023224,0,0,0
2025-05-25,SRER,gec00,f000,89927.921875,297.9373474121094,0.07000000029802322,0,0,0
2025-05-25,STEI,gec00,f000,96999.921875,279.037353515625,0.22800001502037048,0,0,0
2025-05-25,STER,gec00,f000,87591.921875,285.1373596191406,0.1940000057220459,0,0,0
2025-05-25,TALL,gec00,f000,100876.71875,294.6373596191406,0.2840000092983246,0,0,0
2025-05-25,TEAK,gec00,f000,80275.1171875,282.1373596191406,0.1730000078678131,0,0,0
2025-05-25,TOOL,gec00,f000,88507.1171875,267.037353515625,0.328000009059906,20,0.12999999523162842,0
2025-05-25,TREE,gec00,f000,96999.921875,279.037353515625,0.22800001502037048,0,0,0
2025-05-25,UKFS,gec00,f000,98452.71875,289.23736572265625,0.21700000762939453,0,0,0
2025-05-25,UNDE,gec00,f000,96617.5234375,278.8373718261719,0.20400001108646393,0,0,0
2025-05-25,WOOD,gec00,f000,96598.3203125,284.23736572265625,0.23800000548362732,0,0,0
2025-05-25,WREF,gec00,f000,92323.1171875,284.8373718261719,0.2600000202655792,0,0,0
2025-05-25,YELL,gec00,f000,76356.71875,278.9373474121094,0.28600001335144043,0,0,0
2025-05-27,ABBY,gec00,f000,97422.1875,283.4373474121094,0.22700001299381256,0,0,0
2025-05-27,BARR,gec00,f000,100207.7890625,NA,NA,42,0.12999999523162842,1.25
2025-05-27,BART,gec00,f000,96476.5859375,281.537353515625,0.2750000059604645,0,0,0
2025-05-27,BLAN,gec00,f000,100052.5859375,286.6373596191406,0.25300002098083496,0,0,0
2025-05-27,BONA,gec00,f000,95444.5859375,281.8373718261719,0.2630000114440918,0,0,0
2025-05-27,CLBJ,gec00,f000,98154.9921875,294.23736572265625,0.33100003004074097,0,0,0
2025-05-27,CPER,gec00,f000,83289.390625,283.4373474121094,0.22700001299381256,0,0,0
2025-05-27,DCFS,gec00,f000,96298.9921875,285.4373474121094,0.2160000056028366,0,0,0
2025-05-27,DEJU,gec00,f000,93345.390625,281.23736572265625,0.23100000619888306,0,0,0
2025-05-27,DELA,gec00,f000,100950.1875,295.537353515625,0.2939999997615814,0,0,0
2025-05-27,DSNY,gec00,f000,101465.390625,298.8373718261719,0.14800000190734863,0,0,0
2025-05-27,GRSM,gec00,f000,91713.390625,287.4373474121094,0.328000009059906,0,0,0
2025-05-27,GUAN,gec00,f000,100719.7890625,298.1373596191406,0.25,0,0,0
2025-05-27,HARV,gec00,f000,99502.1875,283.4373474121094,0.28200000524520874,0,0,0
2025-05-27,HEAL,gec00,f000,91967.7890625,279.6373596191406,0.28300002217292786,0,0,0
2025-05-27,JERC,gec00,f000,101086.1875,297.537353515625,0.11500000208616257,0,0,0
2025-05-27,JORN,gec00,f000,86106.9921875,294.23736572265625,0.07000000029802322,0,0,0
2025-05-27,KONA,gec00,f000,97319.7890625,286.23736572265625,0.33900001645088196,0,0,0
2025-05-27,KONZ,gec00,f000,97319.7890625,286.23736572265625,0.33900001645088196,0,0,0
2025-05-27,LAJA,gec00,f000,100719.7890625,298.1373596191406,0.25,0,0,0
2025-05-27,LENO,gec00,f000,100817.390625,295.9373474121094,0.32100000977516174,0,0,0
2025-05-27,MLBS,gec00,f000,94233.390625,283.8373718261719,0.2900000214576721,0,0,0
2025-05-27,MOAB,gec00,f000,79868.5859375,287.1373596191406,0.12600000202655792,0,0,0
2025-05-27,NIWO,gec00,f000,74151.7890625,277.8373718261719,0.2930000126361847,1,0.009999999776482582,0
2025-05-27,NOGP,gec00,f000,95388.5859375,284.3373718261719,0.23900000751018524,0,0,0
2025-05-27,OAES,gec00,f000,95596.5859375,292.4373474121094,0.26500001549720764,0,0,0
2025-05-27,ONAQ,gec00,f000,82212.5859375,290.4373474121094,0.1730000078678131,0,0,0
2025-05-27,ORNL,gec00,f000,97124.5859375,288.73736572265625,0.3450000286102295,0,0,0
2025-05-27,OSBS,gec00,f000,101478.1875,298.3373718261719,0.09100000560283661,0,0,0
2025-05-27,PUUM,gec00,f000,81082.9921875,290.8373718261719,0.1860000044107437,0,0,0
2025-05-27,RMNP,gec00,f000,74604.5859375,279.4373474121094,0.2680000066757202,1,0.009999999776482582,0
2025-05-27,SCBI,gec00,f000,100052.5859375,286.6373596191406,0.25300002098083496,0,0,0
2025-05-27,SERC,gec00,f000,102457.390625,NA,NA,NA,NA,0
2025-05-27,SJER,gec00,f000,94266.9921875,289.8373718261719,0.07300000637769699,0,0,0
2025-05-27,SOAP,gec00,f000,94266.9921875,289.8373718261719,0.07300000637769699,0,0,0
2025-05-27,SRER,gec00,f000,89940.5859375,298.037353515625,0.07000000029802322,0,0,0
2025-05-27,STEI,gec00,f000,96980.5859375,283.8373718261719,0.21700000762939453,0,0,0
2025-05-27,STER,gec00,f000,87444.5859375,283.23736572265625,0.19600000977516174,0,0,0
2025-05-27,TALL,gec00,f000,100498.9921875,295.1373596191406,0.30900001525878906,0,0,0
2025-05-27,TEAK,gec00,f000,80204.5859375,283.037353515625,0.15900000929832458,0,0,0
2025-05-27,TOOL,gec00,f000,88138.9921875,268.037353515625,0.3330000042915344,13,0.07999999821186066,0
2025-05-27,TREE,gec00,f000,96980.5859375,283.8373718261719,0.21700000762939453,0,0,0
2025-05-27,UKFS,gec00,f000,98484.5859375,287.037353515625,0.25699999928474426,0,0,0
2025-05-27,UNDE,gec00,f000,96638.1875,283.8373718261719,0.19300000369548798,0,0,0
2025-05-27,WOOD,gec00,f000,96298.9921875,285.4373474121094,0.2160000056028366,0,0,0
2025-05-27,WREF,gec00,f000,92959.7890625,282.537353515625,0.2670000195503235,0,0,0
2025-05-27,YELL,gec00,f000,76417.390625,278.8373718261719,0.30300000309944153,0,0,0
